GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADF001,ADI001,ADI002,ADJ001,ADJ002,ADK001,ADK002,ADK003,ADK004,ADK005,ADK006,ADK007,ADM001,ADM002,ADM003,ADM004,ADM005,ADM006,ADM007,ADM008,ADM009,ADM010,ADM011,ADM012,ADM013,ADM014,ADM015,ADM016,ADM017,ADM018,ADM019,ADM020,ADM021,ADM022,ADM023,ADM024,ADM025,ADM026,ADM027,ADM028,ADM029,ADM030
"G1901010","1850","Iowa","190","Jefferson","1010","Jefferson",1067,54499,106577,1082878,79952,2441,64,2919,1417,4579,13851,25332,59539,1290,705296,132864,0,0,0,33726,108,7621,1026,809,4050,0,127338,7453,2796,23,250,5,0,0,3703,422,0,0,0,0,0,11754
"G1901030","1850","Iowa","190","Johnson","1030","Johnson",377,25356,55179,464884,35620,978,10,1259,539,1770,4247,7464,54081,110,225105,33833,0,0,0,11361,4,9392,0,411,1218,0,68909,11316,4615,0,0,0,0,0,1050,16,0,200,0,0,0,10407
"G1901050","1850","Iowa","190","Jones","1050","Jones",225,13739,25700,240290,19528,523,1,640,271,899,2238,3653,38523,111,99070,21914,0,0,0,5771,70,5403,0,291,677,0,32410,6580,3371,0,33,5,0,0,540,14,0,3095,0,25,0,4657
"G1901070","1850","Iowa","190","Keokuk","1070","Keokuk",326,21075,62263,465951,28384,1031,13,1247,582,1634,4428,11730,24990,625,346650,58266,0,0,0,11923,683,4090,567,10,1206,0,53157,5620,509,29,57,0,0,0,13130,168,0,110,0,5,0,16598
"G1901110","1850","Iowa","190","Lee","1110","Lee",1350,87186,148328,1622030,92063,3216,118,4202,1904,6695,13095,25059,149414,3317,754138,165237,0,500,0,29885,758,13810,359,2727,4895,0,232225,14907,2601,123,775,74,0,0,1122,146,240,3440,0,61,0,9554
"G1901130","1850","Iowa","190","Linn","1130","Linn",526,37216,74549,723398,42350,1638,6,1708,641,1915,5138,11960,85633,30,306390,37157,0,0,0,13881,80,11206,12,90,1066,0,69519,7795,6144,0,27,0,0,0,1117,8,0,4375,0,0,0,15912
"G1901150","1850","Iowa","190","Louisa","1150","Louisa",388,29490,51098,475535,31031,1092,8,1418,587,2458,3918,9519,49713,1115,379449,39056,0,0,0,11681,53,3023,230,251,1188,0,89642,3479,873,4,38,12,0,0,395,63,0,1360,0,22,0,16831
"G1901170","1850","Iowa","190","Lucas","1170","Lucas",32,1079,5750,19405,3300,63,3,66,88,133,214,568,505,0,11925,300,0,200,0,442,16,151,0,0,32,0,2771,10,100,0,0,0,0,0,0,0,0,0,0,0,0,125
"G1901210","1850","Iowa","190","Madison","1210","Madison",53,1980,11919,41550,3358,129,30,138,144,150,584,1638,842,0,26250,387,0,0,0,1410,0,726,0,0,257,0,6005,0,211,0,0,0,0,0,117,0,0,7855,0,273,0,2251
"G1901230","1850","Iowa","190","Mahaska","1230","Mahaska",480,25046,74512,580693,36694,1299,47,1203,676,2298,6150,12697,40092,586,341150,30240,0,0,0,12006,110,6252,80,140,549,0,40526,965,1170,97,34,0,0,0,15,17,0,0,0,0,0,6964
"G1901250","1850","Iowa","190","Marion","1250","Marion",342,13619,59942,300134,20975,774,4,1003,627,1505,2748,11296,17094,153,219565,12850,0,1982,0,6064,32,8484,78,379,1621,0,39381,15202,1780,0,0,10,0,0,1124,26,0,80,0,3,0,16089
"G1901270","1850","Iowa","190","Marshall","1270","Marshall",34,953,2420,15595,2657,65,0,109,97,87,291,1146,213,0,12410,210,0,30,0,601,52,319,0,0,38,0,4230,0,185,0,0,0,0,0,300,0,0,990,0,5,0,480
"G1901350","1850","Iowa","190","Monroe","1350","Monroe",337,13399,43066,261011,26470,661,9,784,587,1011,2855,5925,17792,68,200463,20640,0,0,0,7394,73,2554,30,75,192,0,53634,1575,236,13,10,5,0,0,4295,34,0,0,0,0,0,8833
"G1901390","1850","Iowa","190","Muscatine","1390","Muscatine",460,25201,49388,551135,44913,1419,13,1773,533,3197,3215,10226,68246,940,341465,41675,0,300,0,7078,296,13589,90,2975,3129,0,35945,3840,5433,0,65,0,0,0,2090,0,0,0,0,0,0,2111
"G1901450","1850","Iowa","190","Page","1450","Page",61,1864,0,17240,3265,149,10,203,140,528,960,1958,1998,0,28270,1936,0,0,0,2190,0,593,0,0,0,0,6861,0,197,0,0,0,0,0,0,0,0,0,0,0,0,4252
"G1901530","1850","Iowa","190","Polk","1530","Polk",321,15958,60223,399476,30016,775,9,872,625,1309,3442,7637,13455,135,211677,11139,0,0,0,9054,176,7131,383,0,1888,0,41058,1293,2091,0,36,68,0,0,5067,64,0,11173,0,527,0,19717
"G1901550","1850","Iowa","190","Pottawattamie","1550","Pottawattamie",82,2835,0,20450,4910,108,0,276,187,469,313,795,9117,10,31955,350,0,0,0,435,50,938,0,0,511,0,8940,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,3010
"G1901570","1850","Iowa","190","Poweshiek","1570","Poweshiek",71,2906,12120,59627,5827,183,0,187,146,175,476,1706,3011,30,26455,1845,0,20,0,1253,20,448,0,20,119,0,6902,170,595,0,0,0,0,0,340,3,0,50,0,0,0,2575
"G1901630","1850","Iowa","190","Scott","1630","Scott",384,19993,50404,524983,38717,1003,6,1319,523,1795,2621,5183,120034,0,153915,26341,0,0,0,7365,0,12948,89,3734,1495,0,84494,4085,6034,0,23,0,0,0,0,0,0,0,0,0,0,3264
"G1901710","1850","Iowa","190","Tama","1710","Tama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1901730","1850","Iowa","190","Taylor","1730","Taylor",27,631,0,4535,672,36,1,78,41,166,364,644,437,0,10100,785,0,0,0,1008,0,5,50,0,0,0,4215,0,97,0,0,0,0,0,0,0,0,0,0,0,0,2122
"G1901770","1850","Iowa","190","Van Buren","1770","Van Buren",998,60185,128682,1402620,78672,2752,91,3315,1090,4868,16765,19506,88591,5513,595082,166608,0,0,0,40858,0,5392,888,2128,9972,10,173097,13350,4168,18,176,7,0,0,5558,187,6,4008,0,366,0,32897
"G1901790","1850","Iowa","190","Wapello","1790","Wapello",828,43513,98699,782337,59052,2689,28,1958,972,2680,9486,20258,53169,897,589395,72405,0,0,0,24388,179,5765,473,140,1973,0,114268,3480,1245,8,152,14,0,0,4214,488,0,350,0,14,0,22064
"G1901810","1850","Iowa","190","Warren","1810","Warren",47,1815,11684,46300,3246,105,1,147,135,208,196,1335,633,0,23920,540,0,0,0,1242,0,98,365,0,269,0,5530,100,300,0,0,0,0,0,796,0,0,130,0,12,0,2435
"G1901830","1850","Iowa","190","Washington","1830","Washington",428,24871,59260,473777,31577,1199,10,1628,664,2253,5190,11516,30767,120,277205,37654,0,0,0,12977,87,4157,60,0,427,0,28889,30470,530,8,4,0,0,0,0,0,0,0,0,0,0,361
"G1901850","1850","Iowa","190","Wayne","1850","Wayne",0,1126,3333,8400,1272,64,20,70,38,104,206,719,732,25,14415,3126,0,0,0,537,11,222,5,0,18,0,2940,100,17,0,0,0,0,0,50,0,0,0,0,0,0,1309
"G1901910","1850","Iowa","190","Winneshiek","1910","Winneshiek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2100010","1850","Kentucky","210","Adair","0010","Adair",1010,63746,145395,660390,40547,3584,577,3257,556,5269,15968,41886,15938,422,537945,80536,0,509003,163,24307,2191,18537,24266,0,0,0,165571,2618,607,12,27,0,0,0,28069,2200,0,7756,0,341,0,6070
"G2100030","1850","Kentucky","210","Allen","0030","Allen",740,46188,105913,577532,34441,2833,581,2179,987,2985,10633,29823,9563,206,411655,65206,451,760806,0,14945,333,10148,13296,0,4,0,73319,1107,115,0,28,2,0,0,8974,383,12,6304,0,214,0,10950
"G2100050","1850","Kentucky","210","Anderson","0050","Anderson",420,43208,35333,848029,35944,2139,765,1176,232,1987,9026,17070,13258,7192,338595,65041,0,14875,0,18864,846,5376,2243,300,160,36,54709,1915,724,9,171,25,55,0,13798,563,0,1600,0,567,0,10108
"G2100070","1850","Kentucky","210","Ballard","0070","Ballard",483,20876,87976,369761,23230,1582,254,1465,566,2460,2015,20439,9141,190,272550,25280,0,152700,0,3680,1120,10092,8473,0,0,0,43043,325,72,0,2,70,0,0,7351,133,0,0,0,0,0,7061
"G2100090","1850","Kentucky","210","Barren","0090","Barren",1833,117604,204564,1322506,89689,7100,783,5588,1493,7419,23923,65710,37097,1851,1007560,208393,0,2155551,0,40626,1119,24767,33476,0,13,0,198234,2045,761,0,0,0,0,0,40936,2075,24,8795,4,410,0,17036
"G2100110","1850","Kentucky","210","Bath","0110","Bath",1018,108170,54783,2739919,61132,4768,1340,3091,1029,6213,16928,35058,22043,8275,1033990,91774,0,9003,0,39574,4582,15482,5729,88,51,0,114847,4562,1606,3,21,16,142,0,11830,577,0,7824,0,722,0,18398
"G2100150","1850","Kentucky","210","Boone","0150","Boone",982,92910,65369,4036145,96367,4592,159,3196,705,5964,15294,49446,71749,14352,1056650,62719,0,298152,0,35027,2840,27459,5946,578,247,221,169425,815,2943,4,77,24,2,0,19074,271,0,898,0,314,0,15760
"G2100170","1850","Kentucky","210","Bourbon","0170","Bourbon",734,168891,1111,7786621,114829,6683,5219,4031,903,12462,25288,39492,78133,9915,1705599,180582,0,0,0,78621,3675,20505,4960,540,58,0,196145,3946,2905,0,231,136,1138,64,7148,406,2,200,0,72,0,26328
"G2100210","1850","Kentucky","210","Boyle","0210","Boyle",443,53717,43151,2356839,53390,3162,2702,1922,450,6186,13552,22499,23907,10844,689780,103346,0,1600,0,29931,2801,14883,5521,133,1173,22,84960,5297,2062,165,60,30,292,15,17341,593,38,2560,0,489,0,17346
"G2100230","1850","Kentucky","210","Bracken","0230","Bracken",728,41196,48436,1085670,49268,2584,58,1684,220,1667,6265,15969,27410,6441,370025,52818,0,2129370,0,13550,6,10491,1611,746,273,685,102186,0,1420,10,6,0,5,0,1675,187,40,547,0,20,0,1357
"G2100250","1850","Kentucky","210","Breathitt","0250","Breathitt",433,13517,274043,273828,5846,884,1,1436,354,2662,5565,12657,32,0,155840,2083,0,0,0,8916,3683,3776,4463,10,0,0,37490,45,38,0,0,0,0,0,1536,65,0,5923,0,17,0,74305
"G2100270","1850","Kentucky","210","Breckinridge","0270","Breckinridge",889,67822,181745,877450,58289,3374,214,2795,524,4237,14526,34583,12387,1542,521766,138070,0,2288334,0,24280,1668,10521,6136,0,99,5,80370,364,1309,0,4,8,0,3,20813,1803,14,3775,0,306,0,3566
"G2100290","1850","Kentucky","210","Bullitt","0290","Bullitt",562,50144,111734,1049359,47210,2589,287,1928,104,2885,6619,27341,16974,471,418530,82298,0,2990,0,13146,36,9259,2430,170,25,0,52080,1215,1822,0,23,35,0,0,7605,448,0,3848,0,785,0,3035
"G2100310","1850","Kentucky","210","Butler","0310","Butler",629,26272,112896,336471,23014,2124,112,2046,511,3113,4357,23797,4058,65,289774,40840,0,207819,0,7375,1637,7753,8679,0,0,0,63073,130,354,0,4,33,0,0,10811,1201,0,6761,100,0,969,6090
"G2100330","1850","Kentucky","210","Caldwell","0330","Caldwell",889,69713,182549,1044893,65108,4416,940,3787,1563,3823,10767,48868,8574,205,767725,89557,30,1435479,1,20649,559,16614,17903,0,3,0,108412,305,502,0,52,14,0,0,5322,50,2,1880,0,25,0,5670
"G2100350","1850","Kentucky","210","Calloway","0350","Calloway",933,48164,184409,531245,42276,2866,592,2465,1128,2756,7924,21814,8414,214,405785,64450,520,957381,2,13637,962,11288,17254,100,39,0,84219,1028,97,0,35,25,0,0,6082,263,3,475,0,5,0,6798
"G2100370","1850","Kentucky","210","Campbell","0370","Campbell",730,27009,33111,1562444,36592,1739,37,1598,217,943,3241,10588,9988,1847,301125,37759,0,23108,0,6571,9,39910,5164,515,22,2471,72305,110,1179,7,2,0,0,0,170,10,0,0,0,0,0,685
"G2100410","1850","Kentucky","210","Carroll","0410","Carroll",376,30663,36601,996588,26439,1611,96,1058,417,2665,6352,13628,13253,2170,354510,18604,0,232612,0,12753,874,21691,2186,170,93,0,58573,469,1920,2,246,45,0,0,3256,62,0,1138,0,275,0,6582
"G2100430","1850","Kentucky","210","Carter","0430","Carter",654,28234,218630,438950,22746,1686,90,1755,575,2494,7918,11754,2416,458,279777,36409,0,9320,0,15674,4927,8802,4786,0,45,0,77586,0,1062,1,16,41,0,0,37957,701,0,12197,0,666,0,8235
"G2100450","1850","Kentucky","210","Casey","0450","Casey",758,49594,140339,682902,40463,2534,311,1970,633,2873,12215,29588,9041,4630,511416,31797,0,74600,0,24422,6145,14198,15744,0,252,0,92885,2725,911,78,301,10,2,1,27197,2838,134,8242,0,334,0,27641
"G2100470","1850","Kentucky","210","Christian","0470","Christian",1190,105670,171260,2417282,126486,5451,1609,4292,1077,6424,19584,61961,45678,2868,1235290,329152,0,6312076,0,37892,6446,30312,34461,0,66,0,190328,232,672,15,132,454,0,0,24661,720,0,5577,112,0,215,6039
"G2100490","1850","Kentucky","210","Clark","0490","Clark",792,153096,17056,4495350,68062,5574,2713,4610,1418,10142,19760,30494,25162,13747,1213007,70935,0,66335,0,53164,3408,15297,7523,27,154,0,152170,4895,1634,0,118,63,409,0,18663,656,10,5960,5,317,317,24581
"G2100510","1850","Kentucky","210","Clay","0510","Clay",511,19186,137006,310121,9981,1175,310,1987,358,4272,8015,13413,952,50,214659,15694,2,0,0,10419,2348,5821,6056,27,39,0,944,0,298,0,0,0,0,0,8624,28,0,4516,0,5,0,1770
"G2100530","1850","Kentucky","210","Clinton","0530","Clinton",499,29771,55767,302952,15314,1423,196,1531,551,2637,5887,18495,7910,380,239601,28744,70,32509,0,11012,319,6287,9461,0,0,0,44241,2192,24,20,8,0,0,0,12210,518,0,2526,0,65,0,7288
"G2100550","1850","Kentucky","210","Crittenden","0550","Crittenden",662,34016,103958,445092,28990,2132,223,1782,752,2767,6485,25406,5759,438,386705,45460,0,505637,0,12545,2715,11380,12252,0,13,0,68273,175,76,0,42,89,0,0,7232,206,4,3440,0,164,0,5140
"G2100570","1850","Kentucky","210","Cumberland","0570","Cumberland",607,40066,108351,632946,28533,2419,227,2134,728,4205,9861,29730,7850,483,434340,30020,1087,1238802,0,14140,4975,13992,19863,0,27,5,87758,854,358,125,29,23,0,0,8880,225,6,1161,0,22,0,11805
"G2100590","1850","Kentucky","210","Daviess","0590","Daviess",1057,67408,312489,1882230,82827,4196,278,3363,904,5336,11620,45138,21953,1219,739860,81302,0,3426633,0,20319,663,13226,4550,0,0,2,52297,472,1872,0,37,48,6,20,14217,378,0,285,0,37,0,7674
"G2100610","1850","Kentucky","210","Edmonson","0610","Edmonson",507,20027,75294,273684,16871,1418,76,1212,263,2427,4955,17907,4322,123,193095,34455,0,86980,0,7940,130,8627,7406,0,0,0,63081,123,159,0,0,0,0,0,12891,0,0,5882,0,0,0,5084
"G2100650","1850","Kentucky","210","Estill","0650","Estill",604,26839,84619,477452,16102,1569,172,1375,588,2454,7447,12968,1786,50,291728,18629,0,24150,0,13098,174,6121,6509,0,0,0,42943,100,388,0,10,0,0,0,5721,147,0,9335,0,463,0,8653
"G2100670","1850","Kentucky","210","Fayette","0670","Fayette",799,173818,1404,9524954,173231,8112,3794,4854,1036,12526,20855,42790,73074,27684,1579598,169667,0,0,0,75062,8500,53161,9886,30,1888,44,250471,11878,3894,19,13918,589,2913,54,6947,273,0,2458,0,1207,0,28308
"G2100690","1850","Kentucky","210","Fleming","0690","Fleming",1211,102879,100906,2593971,93515,5309,610,3753,468,6427,17818,32142,52283,5328,926708,105854,0,81175,0,45001,2411,17723,7288,7998,1386,0,195802,7640,3233,97,198,6,460,1,10207,547,5,14639,0,1780,0,21460
"G2100710","1850","Kentucky","210","Floyd","0710","Floyd",365,16700,94897,295495,6382,1144,9,1319,551,3351,5421,8105,1795,115,208325,17521,0,900,0,9422,724,3817,6536,0,86,0,23095,230,451,0,0,0,0,0,13541,30,0,2644,0,25,0,1754
"G2100730","1850","Kentucky","210","Franklin","0730","Franklin",850,61895,52969,1740210,64078,3618,363,2223,318,3270,8685,25424,25335,2985,549723,98742,0,37125,0,23598,1046,28045,4802,227,135,0,157129,326,1415,135,71,97,218,52,6814,117,0,2175,0,343,0,10851
"G2100750","1850","Kentucky","210","Fulton","0750","Fulton",361,17672,44948,389055,19408,1113,287,1142,473,1911,2700,13113,4879,249,236315,25494,0,222482,0,4209,333,10472,9970,0,1,0,43608,1705,364,3,60,16,0,0,6390,519,6,0,0,5,0,9185
"G2100770","1850","Kentucky","210","Gallatin","0770","Gallatin",414,25976,32497,809264,22748,1468,138,983,272,2060,4602,14782,27388,2929,402150,15798,0,198095,0,10755,427,10443,1590,10,90,30,39010,1335,796,2,68,2,311,40,1143,713,45,560,0,0,0,5059
"G2100790","1850","Kentucky","210","Garrard","0790","Garrard",666,92140,47989,2441720,60879,4638,1841,3140,944,6074,14843,36265,34920,10355,973875,169940,0,50150,0,30255,414,17635,10278,180,84,0,154265,5665,1705,38,164,2,84,0,12660,1178,0,2067,0,312,0,17643
"G2100810","1850","Kentucky","210","Grant","0810","Grant",730,40544,74839,1201640,39858,2312,129,1503,305,2072,6285,20432,13415,5188,542955,29648,0,104303,0,16031,848,7530,1819,0,66,0,73767,2576,1188,6,190,2,1,1,4493,163,17,4948,0,281,0,6972
"G2100830","1850","Kentucky","210","Graves","0830","Graves",1279,56868,228342,771845,62751,3947,777,3285,1379,6140,10319,32363,15036,348,653838,115979,1602,1090545,0,17657,2657,17882,30509,2,36,62,158977,1300,77,12,79,15,1,14,10982,169,0,35,0,4,0,16549
"G2100850","1850","Kentucky","210","Grayson","0850","Grayson",824,36612,115857,321725,29555,2224,100,2132,354,3783,7678,24784,8089,480,314260,78275,0,248227,0,15096,2158,8986,5756,0,57,0,77666,1554,700,1,243,5,0,930,53225,2416,0,25752,0,541,0,5013
"G2100870","1850","Kentucky","210","Green","0870","Green",791,61323,114576,795015,37080,2877,652,2354,707,4880,12825,29571,19870,500,505757,114111,0,1267971,0,20934,2276,13452,16452,0,2,62,96147,1194,814,0,10,50,0,0,118132,1669,83,2470,0,77,0,12371
"G2100890","1850","Kentucky","210","Greenup","0890","Greenup",453,30008,111396,740601,24605,1354,184,1290,932,2129,5466,10921,5513,211,323488,39630,0,540,0,10491,528,8899,2495,0,48,0,51293,45,1849,6,2,42,0,0,1509,32,10,1745,0,133,0,4146
"G2100910","1850","Kentucky","210","Hancock","0910","Hancock",319,17775,44274,455308,28525,1148,37,1006,276,2169,4892,13371,4599,337,210730,18127,0,398843,0,8768,685,7564,2855,0,47,0,43854,358,1128,0,15,24,1,0,20172,272,0,619,0,31,0,3994
"G2100930","1850","Kentucky","210","Hardin","0930","Hardin",1406,108282,257081,1558244,122440,5704,553,4791,523,7404,20588,55691,46596,3312,835520,257706,1035,285028,56,39512,3809,22223,9905,6,75,6,188305,3481,2726,23,80,42,0,0,134188,3920,34,2055,0,67,0,6791
"G2100950","1850","Kentucky","210","Harlan","0950","Harlan",535,19052,288717,297947,5457,1345,26,1869,194,4476,5368,13510,948,158,181013,21065,10,3136,0,9051,2118,5039,10894,0,29,0,50768,70,46,0,2,0,0,0,7989,135,0,6356,0,2,0,9574
"G2100970","1850","Kentucky","210","Harrison","0970","Harrison",1130,137883,63238,3420627,109984,7197,1728,3745,477,7297,22390,40343,44330,10204,1400281,124706,0,93927,0,48028,1784,20403,3316,942,169,0,191899,11288,3208,5,211,2,231,16,14170,543,0,27926,0,1534,0,16618
"G2100990","1850","Kentucky","210","Hart","0990","Hart",829,47659,135584,626926,41532,2723,303,2370,636,4922,10807,27127,14763,2081,434613,88550,0,814444,0,19692,1181,10241,14104,0,0,0,83071,1290,275,0,0,0,0,20,14301,0,0,835,0,0,0,9148
"G2101010","1850","Kentucky","210","Henderson","1010","Henderson",1037,70432,160711,2014355,76667,4228,710,3329,934,5740,9235,46734,10571,2032,926865,71618,0,4292960,0,16259,1582,25861,19814,0,55,0,102805,105,1620,0,0,0,0,0,2875,34,0,0,0,0,0,13555
"G2101030","1850","Kentucky","210","Henry","1030","Henry",1029,118714,44496,2687743,75309,4662,331,3171,360,6078,18309,42132,38844,8480,964372,109208,0,1057273,0,39963,581,16902,7982,120,46,140,137159,960,2082,10,8,0,4,0,17933,377,0,0,0,0,0,900
"G2101050","1850","Kentucky","210","Hickman","1050","Hickman",546,21874,62939,379405,21705,1524,265,1317,606,2389,3194,16288,14471,443,317671,31896,0,378580,0,6339,1620,8457,15773,30,0,0,46381,5,72,1,0,0,0,0,18838,628,0,0,0,0,0,12295
"G2101070","1850","Kentucky","210","Hopkins","1070","Hopkins",1354,70065,204441,976498,54764,3165,557,3838,1052,5127,16131,53314,14325,27,741032,61901,5,2180699,0,23654,2375,13396,15895,0,0,0,136439,1705,436,3,0,0,0,0,42011,29,0,180,0,0,0,12
"G2101110","1850","Kentucky","210","Jefferson","1110","Jefferson",877,90720,65928,5393981,128562,4893,357,4338,429,3220,10798,39573,92809,2300,983429,128522,0,9500,0,21540,2327,106657,8204,6110,110,2109,193714,550,4944,201,10,11,120,0,2976,83,0,1025,0,92,0,3362
"G2101130","1850","Kentucky","210","Jessamine","1130","Jessamine",651,65485,42304,3287120,69356,4754,1464,2735,285,5119,12941,24994,35880,15231,725891,134750,0,4800,0,37153,532,14616,6447,0,215,0,119025,4025,1131,0,21,30,1552,11,24005,429,0,328,51,0,472,15581
"G2101150","1850","Kentucky","210","Johnson","1150","Johnson",504,15094,110382,253927,7357,935,9,1332,447,2021,5961,12259,1736,388,185120,21786,0,9250,0,11173,544,5397,7422,0,80,0,43318,205,587,0,26,0,0,0,6380,463,2,4737,0,184,0,6316
"G2101170","1850","Kentucky","210","Kenton","1170","Kenton",656,41616,36915,2426710,41660,2048,40,1999,214,1715,5914,17149,28208,8544,473545,30780,0,125440,0,13561,11,17820,2583,5,312,968,123935,0,2044,0,0,0,0,0,50,5,0,0,0,0,0,4425
"G2101210","1850","Kentucky","210","Knox","1210","Knox",657,32595,127548,419626,20113,1547,224,2094,525,3359,7640,19315,2526,575,290965,48341,213,16869,1,18776,6150,9205,13662,0,111,0,68904,904,761,0,31,95,0,0,9334,701,2,7416,0,190,0,20822
"G2101230","1850","Kentucky","210","Larue","1230","Larue",420,32961,75335,510300,36368,2112,161,1624,168,2411,7883,19031,18578,943,335275,73465,0,131950,0,13348,1143,7898,4607,0,70,0,99390,715,536,7,610,13,0,0,17682,926,0,4018,0,241,0,2374
"G2101250","1850","Kentucky","210","Laurel","1250","Laurel",284,22759,152864,261468,16101,1172,84,1346,347,2395,7372,11941,1156,449,54927,17339,28,2122,10,11688,603,1073,1641,1,165,30,5582,230,525,2,3,10,0,0,12546,270,0,145,0,12,0,14292
"G2101270","1850","Kentucky","210","Lawrence","1270","Lawrence",655,26665,173411,447796,11015,1490,53,2059,1292,2941,8740,17397,939,535,278317,30398,0,8891,0,15561,1311,8825,10085,30,276,0,38114,210,645,0,16,15,30,0,8193,720,1,7108,0,279,0,5323
"G2101330","1850","Kentucky","210","Letcher","1330","Letcher",343,11261,89328,151618,6570,803,5,1230,100,2153,4093,8538,2054,133,86718,8092,20,3122,0,8370,3296,2712,6462,0,228,0,39981,480,133,0,1,0,0,0,8856,426,60,7982,0,259,0,8847
"G2101350","1850","Kentucky","210","Lewis","1350","Lewis",651,34662,86054,816528,42723,2111,65,1585,479,2612,7279,13843,7213,385,398686,54308,0,36820,0,14604,1190,10330,2455,1538,80,0,84439,1247,1698,0,104,11,1,0,7515,290,119,5675,11,460,900,7425
"G2101370","1850","Kentucky","210","Lincoln","1370","Lincoln",614,90094,77288,2285321,49620,3332,2137,3007,1138,10478,17211,30013,23686,7778,740499,87485,0,2000,0,40655,258,10600,7006,2,112,0,108695,7427,1333,0,0,3,4,0,38718,3282,0,603,0,51,0,423
"G2101390","1850","Kentucky","210","Livingston","1390","Livingston",485,26902,96758,492276,23259,1705,313,1508,822,2550,4208,19730,2308,123,331436,25718,20,41200,0,5888,384,15907,6981,0,10,0,43588,210,212,1,2,20,0,0,415,30,0,135,0,145,0,2179
"G2101410","1850","Kentucky","210","Logan","1410","Logan",1130,105036,167760,1857252,114515,5553,1385,3920,603,6221,19353,55858,50316,703,1103186,242340,64,2684767,0,38001,1864,17494,27901,3,67,0,155090,9734,1027,168,7,111,0,3,20452,644,42,6374,0,159,0,5958
"G2101450","1850","Kentucky","210","McCracken","1450","Mccracken",348,16477,46399,309851,21371,1133,120,996,368,1590,1825,10461,5536,141,174976,18383,0,84196,4,2743,172,12846,6334,0,0,10,30059,1,21,0,0,0,0,0,330,3,0,0,0,0,0,2694
"G2101510","1850","Kentucky","210","Madison","1510","Madison",1185,149164,102331,4698009,87121,6653,1982,4962,1840,11654,28015,57495,32962,16987,1424856,176400,0,60511,0,55409,8865,22851,16413,0,19,76,261041,9385,2265,11,452,71,4,2,130173,2973,1,12742,0,1626,0,28393
"G2101550","1850","Kentucky","210","Marion","1550","Marion",963,86959,125741,2542902,86377,5095,1871,3075,919,5182,17490,49032,22930,15242,1001919,213319,50,16450,0,38568,498,19423,12999,0,129,0,151659,4310,1670,750,56,40,0,0,195857,2878,0,12291,0,1079,0,35241
"G2101570","1850","Kentucky","210","Marshall","1570","Marshall",415,18521,67930,200593,19367,1238,167,1169,539,1729,3093,11115,2991,232,192835,27454,80,122883,0,6519,143,5700,6966,0,0,0,43899,300,38,0,24,0,0,0,1748,6,6,1554,0,0,0,3823
"G2101610","1850","Kentucky","210","Mason","1610","Mason",888,93559,56884,4804154,115348,5320,707,3465,455,6040,14584,27584,52486,13212,978470,50236,0,2492622,0,47140,2638,24865,4641,71667,503,80,212914,1807,3904,16,56,406,1851,2,1763,83,0,45,0,139,0,11279
"G2101630","1850","Kentucky","210","Meade","1630","Meade",489,40366,80573,634378,37702,2036,155,1658,449,2668,6831,18179,11216,1138,373145,125183,0,210427,0,13095,730,10445,1565,93,0,5,51237,100,659,2,0,0,2,1,8954,433,0,136,0,0,0,2631
"G2101670","1850","Kentucky","210","Mercer","1670","Mercer",881,97281,48454,3021391,91871,4759,2346,3289,264,4693,19757,40252,68690,41244,1098395,143990,0,12420,0,47850,5366,20358,9811,26,1742,7,192321,9892,3904,543,128,110,470,0,64440,1170,60,7831,0,938,0,28396
"G2101710","1850","Kentucky","210","Monroe","1710","Monroe",746,43662,91922,448494,32176,2865,170,2210,674,2330,8248,30567,12443,381,384705,77151,111,392762,0,15118,4125,12007,17242,0,110,0,63831,1805,164,0,5,10,0,0,15231,1940,4,6576,0,341,0,6121
"G2101730","1850","Kentucky","210","Montgomery","1730","Montgomery",856,99296,121970,2994255,65259,4886,2091,3296,1100,8246,15908,29457,18673,13677,914863,97974,0,4410,0,35302,496,14867,6145,0,84,4,144432,6435,1848,2,123,0,105,1,9094,550,0,9045,0,823,0,19557
"G2101750","1850","Kentucky","210","Morgan","1750","Morgan",615,31742,260193,524225,15549,1558,117,1753,643,3596,8700,13467,2427,474,267275,28705,0,0,0,16988,2240,7771,7893,0,101,0,67382,1166,1082,0,0,0,0,0,10811,906,0,0,0,0,0,11435
"G2101770","1850","Kentucky","210","Muhlenberg","1770","Muhlenberg",921,50935,202285,716694,48383,3077,371,2824,464,4576,11630,37862,13916,105,495328,74020,172,685050,0,20250,1840,10973,12105,0,67,0,83485,968,1070,2,78,1,1,0,29294,2526,20,3997,0,189,0,6201
"G2101790","1850","Kentucky","210","Nelson","1790","Nelson",844,112574,96702,2858553,120482,5023,501,3599,418,6275,17810,54100,63864,8138,1070066,227138,0,0,0,37328,212,23885,8943,0,151,0,161746,5365,2791,153,144,2,49,5,38721,2693,110,17306,0,1477,0,10817
